tconst,averageRating,numVotes
tt0008010,5.9,7
tt0008011,6.5,112
tt0008022,5.0,8
tt0008029,6.1,13
tt0008031,5.2,8
tt0008036,6.3,6
tt0008041,7.1,11
tt0008060,5.4,60
tt0008091,6.0,6
tt0008099,5.9,76
tt0008100,6.8,519
tt0008122,6.7,31
tt0008134,6.6,8
tt0008144,4.2,12
tt0008150,6.5,460
tt0008151,4.2,5
tt0008159,6.8,26
tt0008161,6.3,42
tt0008164,4.3,13
tt0008175,6.0,6
tt0008176,7.7,14
tt0008188,6.5,573
tt0008195,4.0,6
tt0008196,6.6,611
tt0008241,6.0,6
tt0008252,6.5,67
tt0008259,6.7,35
tt0008260,5.0,6
tt0008266,6.0,7
tt0008271,4.3,25
tt0008279,6.5,89
tt0008305,5.6,14
tt0008309,6.6,244
tt0008319,6.2,66
tt0008329,5.8,65
tt0008353,6.0,8
tt0008355,6.1,19
tt0008359,6.0,20
tt0008361,4.8,8
tt0008362,7.1,49
tt0008371,7.6,17
tt0008374,6.5,21
tt0008381,8.8,36
tt0008387,1.0,6
tt0008389,5.8,23
tt0008394,6.6,5
tt0008395,7.1,405
tt0008402,5.0,6
tt0008411,6.0,18
tt0008416,6.2,6
tt0008442,7.7,27
tt0008443,6.8,1194
tt0008458,6.6,71
tt0008476,5.6,10
tt0008489,6.5,108
tt0008491,5.1,8
tt0008496,5.6,5
tt0008498,6.5,64
tt0008499,7.0,728
tt0008502,1.9,7
tt0008519,6.6,697
tt0008526,8.4,43
tt0008535,6.4,5
tt0008536,7.2,118
tt0008539,5.9,8
tt0008541,5.4,65
tt0008543,8.1,8
tt0008544,8.2,10
tt0008549,6.1,7
tt0008550,6.4,76
tt0008551,5.0,30
tt0008561,6.3,66
tt0008562,4.4,8
tt0008565,6.4,7
tt0008571,6.7,54
tt0008579,6.0,7
tt0008608,7.1,24
tt0008623,7.0,12
tt0008634,6.2,317
tt0008638,3.3,9
tt0008652,6.3,94
tt0008662,5.3,26
tt0008663,7.4,1316
tt0008672,6.6,166
tt0008679,6.6,454
tt0008687,6.3,125
tt0008696,6.9,13
tt0008698,6.0,7
tt0008710,6.9,131
tt0008720,5.5,6
tt0008723,6.7,44
tt0008725,6.0,31
tt0008730,6.4,23
tt0008735,6.3,20
tt0008742,7.8,8
tt0008753,7.5,6
tt0008764,6.0,25
tt0008775,6.9,517
tt0008784,6.0,7
tt0008786,6.6,47
tt0008787,8.2,5
tt0008797,7.0,7
tt0008804,4.6,14
tt0008807,6.8,74
tt0008810,5.2,18
tt0008817,1.4,8
tt0008821,2.5,6
tt0008822,6.0,59
tt0008825,5.5,11
tt0008826,5.5,29
tt0008827,6.5,724
tt0008832,5.6,7
tt0008836,5.2,15
tt0008843,6.0,109
tt0008854,5.6,509
tt0008855,5.9,8
tt0008865,7.8,6
tt0008876,8.8,10
tt0008879,7.2,1361
tt0008882,7.6,12
tt0008891,7.0,719
tt0008892,6.0,61
tt0008918,6.2,19
tt0008919,6.2,10
tt0008930,6.3,67
tt0008933,7.4,10
tt0008947,2.1,9
tt0008950,6.2,234
tt0008951,5.4,8
tt0008955,8.7,46
tt0008978,4.8,43
tt0008979,7.6,10
tt0008984,8.0,24
tt0008990,6.9,8
tt0008998,7.4,9
tt0009014,6.2,109
tt0009017,7.3,6
tt0009020,7.4,8
tt0009026,6.2,58
tt0009046,6.2,6
tt0009047,6.7,29
tt0009051,6.6,10
tt0009062,6.2,482
tt0009063,6.8,5
tt0009079,7.4,16
tt0009086,6.4,267
tt0009092,6.0,5
tt0009096,6.0,20
tt0009104,7.3,27
tt0009109,6.5,69
tt0009128,8.0,8
tt0009130,7.0,44
tt0009131,1.0,7
tt0009133,6.9,55
tt0009136,6.6,9
tt0009137,7.1,14
tt0009142,6.2,34
tt0009145,5.8,50
tt0009150,6.7,855
tt0009153,6.2,70
tt0009176,7.0,5
tt0009185,5.9,8
tt0009193,6.1,10
tt0009204,7.0,8
tt0009205,7.6,10
tt0009209,6.5,11
tt0009212,5.7,7
tt0009233,5.4,9
tt0009240,5.9,14
tt0009241,6.5,584
